pico,large,micro,meso
12840000000000,4814000000000,10040000000000,8809000000000
14200000000000,5905000000000,11750000000000,9052000000000
14190000000000,8416000000000,13490000000000,10520000000000
15260000000000,8662000000000,12610000000000,12950000000000
16580000000000,7566000000000,12120000000000,14490000000000
16730000000000,6845000000000,12170000000000,14390000000000
16140000000000,6641000000000,11950000000000,13690000000000
15530000000000,6539000000000,11950000000000,12820000000000
15230000000000,6219000000000,11680000000000,12460000000000
14570000000000,5791000000000,11210000000000,11560000000000
13460000000000,5218000000000,10450000000000,10470000000000
12530000000000,4789000000000,9735000000000,9567000000000
12740000000000,4889000000000,10130000000000,9137000000000
13340000000000,5838000000000,11380000000000,9469000000000
14020000000000,7536000000000,12350000000000,10690000000000
14870000000000,8095000000000,12760000000000,12700000000000
16320000000000,7567000000000,12450000000000,13970000000000
16280000000000,6886000000000,11830000000000,13930000000000
15870000000000,6483000000000,11850000000000,13030000000000
15300000000000,6317000000000,11750000000000,12170000000000
14910000000000,5993000000000,11440000000000,11540000000000
14470000000000,5402000000000,10890000000000,10570000000000
13290000000000,4895000000000,10170000000000,9623000000000
12520000000000,4333000000000,9452000000000,8758000000000
12660000000000,4536000000000,9883000000000,8387000000000
13210000000000,5706000000000,11430000000000,8685000000000
13900000000000,7507000000000,12500000000000,10230000000000
15590000000000,8569000000000,13300000000000,11940000000000
16170000000000,7765000000000,12110000000000,14170000000000
16810000000000,6779000000000,11810000000000,13830000000000
15790000000000,6462000000000,11680000000000,13010000000000
15530000000000,6384000000000,11800000000000,12260000000000
15310000000000,6126000000000,11620000000000,12180000000000
14530000000000,5582000000000,11070000000000,11220000000000
13570000000000,4960000000000,10390000000000,10210000000000
12560000000000,4554000000000,9751000000000,9325000000000
12850000000000,4923000000000,10140000000000,8925000000000
13710000000000,6182000000000,11990000000000,9728000000000
14210000000000,7746000000000,12820000000000,11200000000000
14860000000000,7928000000000,12830000000000,12680000000000
16130000000000,6969000000000,12140000000000,13470000000000
16040000000000,6678000000000,11800000000000,13100000000000
15910000000000,6196000000000,11670000000000,12240000000000
15160000000000,6107000000000,11550000000000,11690000000000
15130000000000,5735000000000,11220000000000,11300000000000
14350000000000,5193000000000,10740000000000,10170000000000
13240000000000,4726000000000,10110000000000,9253000000000
12450000000000,4133000000000,9343000000000,8257000000000
12600000000000,4425000000000,9872000000000,7890000000000
13590000000000,5963000000000,11780000000000,8866000000000
14500000000000,7981000000000,13360000000000,10600000000000
15030000000000,8248000000000,12790000000000,12870000000000
16950000000000,7263000000000,12130000000000,13890000000000
16260000000000,6890000000000,11980000000000,13920000000000
16030000000000,6405000000000,11780000000000,12860000000000
15460000000000,6358000000000,11840000000000,12460000000000
15340000000000,6279000000000,11790000000000,12350000000000
14690000000000,5828000000000,11330000000000,11810000000000
13530000000000,5148000000000,10550000000000,10660000000000
12620000000000,4791000000000,10040000000000,9612000000000
12850000000000,4865000000000,10390000000000,9310000000000
13330000000000,5798000000000,11800000000000,9608000000000
14210000000000,7242000000000,12980000000000,10820000000000
14920000000000,8032000000000,12930000000000,12380000000000
16290000000000,6799000000000,11970000000000,13120000000000
16090000000000,6838000000000,12310000000000,12990000000000
15670000000000,6497000000000,11790000000000,12450000000000
15610000000000,6379000000000,11780000000000,11910000000000
15440000000000,6076000000000,11640000000000,11870000000000
14720000000000,5611000000000,11240000000000,11380000000000
13590000000000,4918000000000,10430000000000,10210000000000
12460000000000,4554000000000,9789000000000,9203000000000
12750000000000,4699000000000,10160000000000,8755000000000
13570000000000,5591000000000,11770000000000,9099000000000
14020000000000,7513000000000,13650000000000,10390000000000
14690000000000,8481000000000,13250000000000,12300000000000
15930000000000,7654000000000,11920000000000,13420000000000
16550000000000,6613000000000,11340000000000,12950000000000
